original,clean_legal_name,search_core_name,predecessor,status,successor,fdic_query_main,fdic_query_pred
American National Bank,American National Bank,American National Bank,,Active,,NAME:*AMERICAN\ NATIONAL\ BANK*,
American National Bank of Texas,American National Bank of Texas,American National Bank of Texas,,Active,,NAME:*AMERICAN\ NATIONAL\ BANK\ OF\ TEXAS*,
American Plus Bank NA,American Plus Bank NA,American Plus Bank,,Active,,NAME:*AMERICAN\ PLUS\ BANK*,
American River Bank,American River Bank,American River Bank,,Active,,NAME:*AMERICAN\ RIVER\ BANK*,
American Savings Bank,American Savings Bank,American Savings Bank,,Active,,NAME:*AMERICAN\ SAVINGS\ BANK*,
American State Bank and Trust Co,American State Bank and Trust Co,American State Bank and Trust,,Active,,NAME:*AMERICAN\ STATE\ BANK\ AND\ TRUST*,
American Trust & Savings Bank,American Trust & Savings Bank,American Trust & Savings Bank,,Active,,NAME:*AMERICAN\ TRUST\ SAVINGS\ BANK*,
American West Bank,American West Bank,American West Bank,,Active,,NAME:*AMERICAN\ WEST\ BANK*,
Ameris Bancorp,Ameris Bancorp,Ameris Bancorp,,Active,,NAME:*AMERIS\ BANCORP*,
Anchor Bank,Anchor Bank,Anchor Bank,,Active,,NAME:*ANCHOR\ BANK*,
AnchorBank FSB,AnchorBank FSB,AnchorBank FSB,,Acquired,,NAME:*ANCHORBANK\ FSB*,
Ann Arbor State Bank,Ann Arbor State Bank,Ann Arbor State Bank,,Active,,NAME:*ANN\ ARBOR\ STATE\ BANK*,
ANZ Bank (US),ANZ Bank,ANZ Bank,,Active,,NAME:*ANZ\ BANK*,
ANZ Banking Group New York,ANZ Banking Group,ANZ Banking Group,,Active,,NAME:*ANZ\ BANKING\ GROUP*,
Ag First Farm Credit Bank,AgFirst Farm Credit Bank,AgFirst Farm Credit Bank,,Active,,NAME:*AGFIRST\ FARM\ CREDIT\ BANK*,
AgChoice Farm Credit,AgChoice Farm Credit,AgChoice Farm Credit,,Active,,NAME:*AGCHOICE\ FARM\ CREDIT*,
AgFirst Farm Credit Bank,AgFirst Farm Credit Bank,AgFirst Farm Credit Bank,,Active,,NAME:*AGFIRST\ FARM\ CREDIT\ BANK*,
AgHeritage Farm Credit,AgHeritage Farm Credit,AgHeritage Farm Credit,,Active,,NAME:*AGHERITAGE\ FARM\ CREDIT*,
AgWest Farm Credit PCA,AgWest Farm Credit PCA,AgWest Farm Credit PCA,,Active,,NAME:*AGWEST\ FARM\ CREDIT\ PCA*,
Agcountry Farm Credit Services FLCA,Agcountry Farm Credit Services FLCA,Agcountry Farm Credit Services FLCA,,Active,,NAME:*AGCOUNTRY\ FARM\ CREDIT\ SERVICES\ FLCA*,
AmSouth Bank,AmSouth Bank,AmSouth Bank,,Acquired,,NAME:*AMSOUTH\ BANK*,
AmTrust Bank,AmTrust Bank,AmTrust Bank,,Acquired,,NAME:*AMTRUST\ BANK*,
AmTrust Financial Services Inc,AmTrust Financial Services Inc,AmTrust Financial Services,,Failed,,NAME:*AMTRUST\ FINANCIAL\ SERVICES*,
Amalgamated Bank,Amalgamated Bank,Amalgamated Bank,,Active,,NAME:*AMALGAMATED\ BANK*,
Amalgamated Bank of Chicago,Amalgamated Bank of Chicago,Amalgamated Bank of Chicago,,Active,,NAME:*AMALGAMATED\ BANK\ OF\ CHICAGO*,
Amanah Bank,Amanah Bank,Amanah Bank,,Active,,NAME:*AMANAH\ BANK*,
Amarillo National Bank,Amarillo National Bank,Amarillo National Bank,,Active,,NAME:*AMARILLO\ NATIONAL\ BANK*,
Amcore Financial Inc,Amcore Financial Inc,Amcore Financial,,Acquired,,NAME:*AMCORE\ FINANCIAL*,
Amegy,Amegy Bank,Amegy Bank,,Active,,NAME:*AMEGY\ BANK*,
Amegy Bank NA,Amegy Bank NA,Amegy Bank,,Active,,NAME:*AMEGY\ BANK*,
Amen Bank,Amen Bank,Amen Bank,,Acquired,,NAME:*AMEN\ BANK*,
Amerant Bank,Amerant Bank,Amerant Bank,,Active,,NAME:*AMERANT\ BANK*,
AmeriBank,AmeriBank,AmeriBank,,Acquired,,NAME:*AMERIBANK*,
AmeriServ Financial,AmeriServ Financial,AmeriServ Financial,,Active,,NAME:*AMERISERV\ FINANCIAL*,
America California Bank,America California Bank,America California Bank,,Active,,NAME:*AMERICA\ CALIFORNIA\ BANK*,
American Bank & Trust Co,American Bank & Trust Co,American Bank & Trust Co,,Active,,NAME:*AMERICAN\ BANK\ TRUST\ CO*,
American Bank NA,American Bank NA,American Bank,,Active,,NAME:*AMERICAN\ BANK*,
American Bank of Commerce,American Bank of Commerce,American Bank of Commerce,,Active,,NAME:*AMERICAN\ BANK\ OF\ COMMERCE*,
BNC National Bank,BNC National Bank,BNC National Bank,,Active,,NAME:*BNC\ NATIONAL\ BANK*,
BNP Paribas New York,BNP Paribas,BNP Paribas,,Active,,NAME:*BNP\ PARIBAS*,
BNP Paribas SA,BNP Paribas SA,BNP Paribas,,Active,,NAME:*BNP\ PARIBAS*,
Bank Leumi Trust Co of New York,Bank Leumi Trust Co,Bank Leumi Trust Co,,Active,,NAME:*BANK\ LEUMI\ TRUST\ CO*,
Bank Leumi USA,Bank Leumi USA,Bank Leumi USA,,Active,,NAME:*BANK\ LEUMI\ USA*,
Bank Midwest Minnesota Iowa NA,Bank Midwest NA,Bank Midwest,,Active,,NAME:*BANK\ MIDWEST*,
Bank Midwest NA,Bank Midwest NA,Bank Midwest,,Active,,NAME:*BANK\ MIDWEST*,
Bank Mutual Corp,Bank Mutual Corp,Bank Mutual,,Acquired,,NAME:*BANK\ MUTUAL*,
Bank North,Bank North,Bank North,,Acquired,,NAME:*BANK\ NORTH*,
Bank Of The Ozarks Inc,Bank Of The Ozarks Inc,Bank Of The Ozarks,,Active,,NAME:*BANK\ OF\ THE\ OZARKS*,
Bank One Arizona,Bank One,Bank One,,Acquired,,NAME:*BANK\ ONE*,
Bank One NA,Bank One NA,Bank One,,Acquired,,NAME:*BANK\ ONE*,
Bank Rakyat Indonesia New York,Bank Rakyat Indonesia,Bank Rakyat Indonesia,,Active,,NAME:*BANK\ RAKYAT\ INDONESIA*,
Bank Rhode Island,Bank Rhode Island,Bank Rhode Island,,Active,,NAME:*BANK\ RHODE\ ISLAND*,
Bank SinoPac Los Angeles,Bank SinoPac,Bank SinoPac,,Active,,NAME:*BANK\ SINOPAC*,
Bank SinoPac Offshore Banking Unit,Bank SinoPac Offshore Banking Unit,Bank SinoPac Offshore Banking Unit,,Active,,NAME:*BANK\ SINOPAC\ OFFSHORE\ BANKING\ UNIT*,
Bank South,Bank South,Bank South,,Acquired,,NAME:*BANK\ SOUTH*,
Bank United,Bank United,Bank United,,Active,,NAME:*BANK\ UNITED*,
Bank United Corp,Bank United Corp,Bank United,,Active,,NAME:*BANK\ UNITED*,
Bank United of Florida,Bank United,Bank United,,Active,,NAME:*BANK\ UNITED*,
Bank of Niagara,Bank of Niagara,Bank of Niagara,,Acquired,,NAME:*BANK\ OF\ NIAGARA*,
Bank of Albuquerque NA,Bank of Albuquerque NA,Bank of Albuquerque,,Active,,NAME:*BANK\ OF\ ALBUQUERQUE*,
Bank of America,Bank of America,Bank of America,,Active,,NAME:*BANK\ OF\ AMERICA*,
Bank of America Corp,Bank of America Corp,Bank of America,,Active,,NAME:*BANK\ OF\ AMERICA*,
Bank of America NA,Bank of America NA,Bank of America,,Active,,NAME:*BANK\ OF\ AMERICA*,
Bank of Ann Arbor,Bank of Ann Arbor,Bank of Ann Arbor,,Active,,NAME:*BANK\ OF\ ANN\ ARBOR*,
Bank of Arizona NA,Bank of Arizona NA,Bank of Arizona,,Acquired,,NAME:*BANK\ OF\ ARIZONA*,
Bank of Arkansas NA,Bank of Arkansas NA,Bank of Arkansas,,Active,,NAME:*BANK\ OF\ ARKANSAS*,
Bank of Atlanta,Bank of Atlanta,Bank of Atlanta,,Acquired,,NAME:*BANK\ OF\ ATLANTA*,
Banco Bilbao Vizcaya Argentaria (New York),Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya Argentaria,,Active,,NAME:*BANCO\ BILBAO\ VIZCAYA\ ARGENTARIA*,
Banco Bilbao Vizcaya Argentaria SA [US],Banco Bilbao Vizcaya Argentaria SA,Banco Bilbao Vizcaya Argentaria,,Active,,NAME:*BANCO\ BILBAO\ VIZCAYA\ ARGENTARIA*,
Banco Bradesco SA New York,Banco Bradesco SA,Banco Bradesco,,Active,,NAME:*BANCO\ BRADESCO*,
Banco Comercial Portugues SA (New York),Banco Comercial Portugues SA,Banco Comercial Portugues,,Active,,NAME:*BANCO\ COMERCIAL\ PORTUGUES*,
Banco Cooperativo de Puerto Rico,Banco Cooperativo de Puerto Rico,Banco Cooperativo de Puerto Rico,,Active,,NAME:*BANCO\ COOPERATIVO\ DE\ PUERTO\ RICO*,
Bank of Blue Valley,Bank of Blue Valley,Bank of Blue Valley,,Active,,NAME:*BANK\ OF\ BLUE\ VALLEY*,
Bank of California,Bank of California,Bank of California,,Active,,NAME:*BANK\ OF\ CALIFORNIA*,
Bank of Camilla,Bank of Camilla,Bank of Camilla,,Active,,NAME:*BANK\ OF\ CAMILLA*,
Bank of Charles Town,Bank of Charles Town,Bank of Charles Town,,Active,,NAME:*BANK\ OF\ CHARLES\ TOWN*,
Bank of Commerce,Bank of Commerce,Bank of Commerce,,Active,,NAME:*BANK\ OF\ COMMERCE*,
Bank of Edwardsville,Bank of Edwardsville,Bank of Edwardsville,,Active,,NAME:*BANK\ OF\ EDWARDSVILLE*,
Bank of Fayetteville,Bank of Fayetteville,Bank of Fayetteville,,Active,,NAME:*BANK\ OF\ FAYETTEVILLE*,
Bank of Georgetown,Bank of Georgetown,Bank of Georgetown,,Active,,NAME:*BANK\ OF\ GEORGETOWN*,
Bank of Granite,Bank of Granite,Bank of Granite,,Active,,NAME:*BANK\ OF\ GRANITE*,
Bank of Greene County,Bank of Greene County,Bank of Greene County,,Active,,NAME:*BANK\ OF\ GREENE\ COUNTY*,
Bank of Guam,Bank of Guam,Bank of Guam,,Active,,NAME:*BANK\ OF\ GUAM*,
Bank of Hawaii,Bank of Hawaii,Bank of Hawaii,,Active,,NAME:*BANK\ OF\ HAWAII*,
Bank of Hope,Bank of Hope,Bank of Hope,,Active,,NAME:*BANK\ OF\ HOPE*,
Bank of Idaho,Bank of Idaho,Bank of Idaho,,Active,,NAME:*BANK\ OF\ IDAHO*,
Banc of California,Banc of California,Banc of California,,Active,,NAME:*BANC\ OF\ CALIFORNIA*,
BancFirst Corp,BancFirst Corp,BancFirst,,Active,,NAME:*BANCFIRST*,
BancFirst of Oklahoma,BancFirst of Oklahoma,BancFirst of Oklahoma,,Active,,NAME:*BANCFIRST\ OF\ OKLAHOMA*,
Banca Antoniana Popolare Veneta SpA New York [Banca Antonveneta New York],Banca Antoniana Popolare Veneta SpA,Banca Antoniana Popolare Veneta,,Acquired,,NAME:*BANCA\ ANTONIANA\ POPOLARE\ VENETA*,
Banca Monte dei Paschi di Siena New York,Banca Monte dei Paschi di Siena,Banca Monte dei Paschi di Siena,,Active,,NAME:*BANCA\ MONTE\ DEI\ PASCHI\ DI\ SIENA*,
Banca Nazionale del Lavoro New York,Banca Nazionale del Lavoro,Banca Nazionale del Lavoro,,Active,,NAME:*BANCA\ NAZIONALE\ DEL\ LAVORO*,
Banca di Roma Chicago Branch,Banca di Roma,Banca di Roma,,Acquired,,NAME:*BANCA\ DI\ ROMA*,
Banca di Roma New York,Banca di Roma,Banca di Roma,,Acquired,,NAME:*BANCA\ DI\ ROMA*,
Bancorp Bank,Bancorp Bank,Bancorp Bank,,Active,,NAME:*BANCORP\ BANK*,
BancorpSouth,BancorpSouth,BancorpSouth,,Acquired,,NAME:*BANCORPSOUTH*,
BancorpSouth Bank,BancorpSouth Bank,BancorpSouth Bank,,Acquired,,NAME:*BANCORPSOUTH\ BANK*,
Banesco USA,Banesco USA,Banesco USA,,Active,,NAME:*BANESCO\ USA*,
Banco de Costa Rica,Banco de Costa Rica,Banco de Costa Rica,,Active,,NAME:*BANCO\ DE\ COSTA\ RICA*,
Banco de Credito Agricola,Banco de Credito Agricola,Banco de Credito Agricola,,Active,,NAME:*BANCO\ DE\ CREDITO\ AGRICOLA*,
Banco de Credito Argentina SA,Banco de Credito Argentina SA,Banco de Credito Argentina,,Active,,NAME:*BANCO\ DE\ CREDITO\ ARGENTINA*,
Banco de Credito Helm Financial Services,Banco de Credito Helm Financial Services,Banco de Credito Helm Financial Services,,Active,,NAME:*BANCO\ DE\ CREDITO\ HELM\ FINANCIAL\ SERVICES*,
Banco de Credito Inversiones,Banco de Credito Inversiones,Banco de Credito Inversiones,,Active,,NAME:*BANCO\ DE\ CREDITO\ INVERSIONES*,
Banco de Credito Inversiones SA [BCI],Banco de Credito Inversiones SA,Banco de Credito Inversiones,,Active,,NAME:*BANCO\ DE\ CREDITO\ INVERSIONES*,
Banco de Credito del Peru,Banco de Credito del Peru,Banco de Credito del Peru,,Active,,NAME:*BANCO\ DE\ CREDITO\ DEL\ PERU*,
Banco de Credito e Inversiones,Banco de Credito e Inversiones,Banco de Credito e Inversiones,,Active,,NAME:*BANCO\ DE\ CREDITO\ E\ INVERSIONES*,
Banco de Desarrollo Agropecuario,Banco de Desarrollo Agropecuario,Banco de Desarrollo Agropecuario,,Active,,NAME:*BANCO\ DE\ DESARROLLO\ AGROPECUARIO*,
Banco de Desarrollo de America Latina [CAF],Banco de Desarrollo de America Latina,Banco de Desarrollo de America Latina,,Active,,NAME:*BANCO\ DE\ DESARROLLO\ DE\ AMERICA\ LATINA*,
Banco de Galicia,Banco de Galicia,Banco de Galicia,,Active,,NAME:*BANCO\ DE\ GALICIA*,
Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,,Active,,NAME:*BANCO\ DE\ GALICIA\ Y\ BUENOS\ AIRES*,
Banco de Inversione Comercio Exterior,Banco de Inversione Comercio Exterior,Banco de Inversione Comercio Exterior,,Active,,NAME:*BANCO\ DE\ INVERSIONE\ COMERCIO\ EXTERIOR*,
Banco de La Pampa,Banco de La Pampa,Banco de La Pampa,,Active,,NAME:*BANCO\ DE\ LA\ PAMPA*,
Banco de Occidente,Banco de Occidente,Banco de Occidente,,Active,,NAME:*BANCO\ DE\ OCCIDENTE*,
Banco de Oro,Banco de Oro,Banco de Oro,,Active,,NAME:*BANCO\ DE\ ORO*,
Banco de Oro Unibank Inc,Banco de Oro Unibank Inc,Banco de Oro Unibank,,Active,,NAME:*BANCO\ DE\ ORO\ UNIBANK*,
Banco de Oro Unibank Inc Hong Kong,Banco de Oro Unibank Inc,Banco de Oro Unibank,,Active,,NAME:*BANCO\ DE\ ORO\ UNIBANK*,
Banco de Oro Unibank Inc [Ex Banco de Oro Universal Bank],Banco de Oro Unibank Inc,Banco de Oro Unibank,Banco de Oro Universal Bank,Active,,NAME:*BANCO\ DE\ ORO\ UNIBANK*,NAME:*BANCO\ DE\ ORO\ UNIVERSAL\ BANK*
Ally Bank,Ally Bank,Ally Bank,,Active,,NAME:*ALLY\ BANK*,
Ally Financial Inc,Ally Financial Inc,Ally Financial,,Active,,NAME:*ALLY\ FINANCIAL*,
Alpine Bank of Colorado,Alpine Bank,Alpine Bank,,Active,,NAME:*ALPINE\ BANK*,
AmSouth Bancorporation,AmSouth Bancorporation,AmSouth,,Acquired,,NAME:*AMSOUTH*,
BOK Financial Corp,BOK Financial Corp,BOK Financial,,Active,,NAME:*BOK\ FINANCIAL*,
BOKF NA,BOKF NA,BOKF,,Active,,NAME:*BOKF*,
Badgerland Farm Credit Services FLCA,Badgerland Farm Credit Services FLCA,Badgerland Farm Credit Services,,Active,,NAME:*BADGERLAND\ FARM\ CREDIT\ SERVICES*,
Badgerland Financial FLCA,Badgerland Financial FLCA,Badgerland Financial,,Active,,NAME:*BADGERLAND\ FINANCIAL*,
BBVA Compass,BBVA Compass,BBVA Compass,,Acquired,,NAME:*BBVA\ COMPASS*,
BMO Harris Bank NA,BMO Harris Bank NA,BMO Harris Bank,,Active,,NAME:*BMO\ HARRIS\ BANK*,
BMO/Harris Bank,BMO Harris Bank,BMO Harris Bank,,Active,,NAME:*BMO\ HARRIS\ BANK*,
Bank of Washington,Bank of Washington,Bank of Washington,,Active,,NAME:*BANK\ OF\ WASHINGTON*,
Bank of Wisconsin,Bank of Wisconsin,Bank of Wisconsin,,Active,,NAME:*BANK\ OF\ WISCONSIN*,
Bank of the Cascades,Bank of the Cascades,Bank of the Cascades,,Active,,NAME:*BANK\ OF\ THE\ CASCADES*,
Bank of the West,Bank of the West,Bank of the West,,Active,,NAME:*BANK\ OF\ THE\ WEST*,
Bank on Buffalo,Bank on Buffalo,Bank on Buffalo,,Active,,NAME:*BANK\ ON\ BUFFALO*,
Bank7 Corp,Bank7 Corporation,Bank7,,Active,,NAME:*BANK7*,
BankAtlantic Bancorp,BankAtlantic Bancorp,BankAtlantic Bancorp,,Acquired,,NAME:*BANKATLANTIC\ BANCORP*,
BankBoston NA,BankBoston N.A.,BankBoston,,Acquired,,NAME:*BANKBOSTON*,
BankFinancial,BankFinancial,BankFinancial,,Active,,NAME:*BANKFINANCIAL*,
BankNewport,BankNewport,BankNewport,,Active,,NAME:*BANKNEWPORT*,
BankNorth NA,BankNorth N.A.,BankNorth,,Acquired,,NAME:*BANKNORTH*,
BankPlus,BankPlus,BankPlus,,Active,,NAME:*BANKPLUS*,
BankUnited FSB,BankUnited FSB,BankUnited FSB,,Active,,NAME:*BANKUNITED\ FSB*,
BankUnited Inc,BankUnited Inc,BankUnited,,Active,,NAME:*BANKUNITED*,
BankUnited N.A.,BankUnited N.A.,BankUnited,,Active,,NAME:*BANKUNITED*,
BankUnited NA,BankUnited NA,BankUnited,,Active,,NAME:*BANKUNITED*,
Bankers Bank,Bankers Bank,Bankers Bank,,Active,,NAME:*BANKERS\ BANK*,
Bank of Indianapolis,Bank of Indianapolis,Bank of Indianapolis,,Active,,NAME:*BANK\ OF\ INDIANAPOLIS*,
Bank of Internet Federal Bank,Axos Bank,Axos Bank,,Active,,NAME:*AXOS\ BANK*,
Bank of Kansas,Bank of Kansas,Bank of Kansas,,Active,,NAME:*BANK\ OF\ KANSAS*,
Bank of Kansas City,Bank of Kansas City,Bank of Kansas City,,Active,,NAME:*BANK\ OF\ KANSAS\ CITY*,
Bank of Kentucky,Bank of Kentucky,Bank of Kentucky,,Active,,NAME:*BANK\ OF\ KENTUCKY*,
Bank of Labor,Bank of Labor,Bank of Labor,,Active,,NAME:*BANK\ OF\ LABOR*,
Bank of Little Chute,Bank of Little Chute,Bank of Little Chute,,Active,,NAME:*BANK\ OF\ LITTLE\ CHUTE*,
Bank of Miami,Bank of Miami,Bank of Miami,,Active,,NAME:*BANK\ OF\ MIAMI*,
Bank of Midwest,Bank of Midwest,Bank of Midwest,,Active,,NAME:*BANK\ OF\ MIDWEST*,
Bank of Missouri,Bank of Missouri,Bank of Missouri,,Active,,NAME:*BANK\ OF\ MISSOURI*,
Bank of Montecito,Bank of Montecito,Bank of Montecito,,Active,,NAME:*BANK\ OF\ MONTECITO*,
Bank of Montreal Chicago,Bank of Montreal,Bank of Montreal,,Active,,NAME:*BANK\ OF\ MONTREAL*,
Bank of North Georgia,Bank of North Georgia,Bank of North Georgia,,Active,,NAME:*BANK\ OF\ NORTH\ GEORGIA*,
Bangor Savings Bank,Bangor Savings Bank,Bangor Savings Bank,,Active,,NAME:*BANGOR\ SAVINGS\ BANK*,
Bank Atlantic,Bank Atlantic,Bank Atlantic,,Acquired,,NAME:*BANK\ ATLANTIC*,
Bank Boston,Bank Boston,Bank Boston,,Acquired,,NAME:*BANK\ BOSTON*,
Bank Calumet,Bank Calumet,Bank Calumet,,Acquired,,NAME:*BANK\ CALUMET*,
Bank Iowa,Bank Iowa,Bank Iowa,,Active,,NAME:*BANK\ IOWA*,
Bank Irvine,Bank Irvine,Bank Irvine,,Acquired,,NAME:*BANK\ IRVINE*,
Barrington Bank and Trust Co,Barrington Bank and Trust Co,Barrington Bank and Trust Co,,Active,,NAME:*BARRINGTON\ BANK\ AND\ TRUST\ CO*,
Bayerische Hypo-und Vereinsbank AG New York,Bayerische Hypo-und Vereinsbank AG,Bayerische Hypo-und Vereinsbank,,Active,,NAME:*BAYERISCHE\ HYPOUND\ VEREINSBANK*,
Bayerische Hypotheken-und Wechsel-Bank AG [US],Bayerische Hypotheken-und Wechsel-Bank AG,Bayerische Hypotheken-und Wechsel-Bank,,Active,,NAME:*BAYERISCHE\ HYPOTHEKENUND\ WECHSELBANK*,
Bayerische Landesbank [New York],Bayerische Landesbank,Bayerische Landesbank,,Active,,NAME:*BAYERISCHE\ LANDESBANK*,
Beal Bank SSB,Beal Bank SSB,Beal Bank SSB,,Active,,NAME:*BEAL\ BANK\ SSB*,
Bear State Bank NA,Bear State Bank NA,Bear State Bank,,Acquired,,NAME:*BEAR\ STATE\ BANK*,
Bell Bank,Bell Bank,Bell Bank,,Active,,NAME:*BELL\ BANK*,
Bell State Bank NA,Bell State Bank NA,Bell State Bank,,Acquired,,NAME:*BELL\ STATE\ BANK*,
Belmont Bank & Trust,Belmont Bank & Trust,Belmont Bank & Trust,,Active,,NAME:*BELMONT\ BANK\ TRUST*,
Beneficial Mutual Savings Bank,Beneficial Mutual Savings Bank,Beneficial Mutual Savings Bank,,Active,,NAME:*BENEFICIAL\ MUTUAL\ SAVINGS\ BANK*,
Berkshire Bank,Berkshire Bank,Berkshire Bank,,Active,,NAME:*BERKSHIRE\ BANK*,
BestBank,BestBank,BestBank,,Failed,,NAME:*BESTBANK*,
Beverly Bank & Trust Company NA,Beverly Bank & Trust Company NA,Beverly Bank & Trust Company,,Active,,NAME:*BEVERLY\ BANK\ TRUST\ COMPANY*,
Biltmore Investors Bank NA,Biltmore Investors Bank NA,Biltmore Investors Bank,,Acquired,,NAME:*BILTMORE\ INVESTORS\ BANK*,
