original,status,successor,search_query,notes,Found,Match_Count,Match1_Name,Match1_CERT,Match1_RSSD,Match1_Status,Match1_Asset,Match1_State,Match1_Address,Match1_City,Match1_Zip,Match1_SimScore,Match2_Name,Match2_CERT,Match2_RSSD,Match2_Status,Match2_Asset,Match2_State,Match2_Address,Match2_City,Match2_Zip,Match2_SimScore
Devon Bank,Active,Devon Bank,Devon*Bank*,Input 'Devon Bank' no corrections. Active Oklahoma community bank.,True,1,Devon Bank,16249,347639,Active,469655.0,IL,6445 N Western Ave,Chicago,60645,1.00,,,,,,,,,,
Dime Community Bank,Active,Dime Community Bank,Dime*Community*Bank*,Input 'Dime Community Bank' no corrections. Active NY community bank.,True,2,Dime Community Bank,6976,23504,Active,14528464.0,NY,898 Veterans Memorial Hwy,Hauppauge,11788,1.00,Dime Community Bank,16012,924405,Inactive,6775780.0,NY,149 Kent Avenue,Brooklyn,11249,1.00
Dime Savings Bank of New York,Acquired,JPMorgan Chase,(Dime*Savings*Bank*of*New*York* OR JPMorgan*Chase*),Input 'Dime Saving Bank' corrected to 'Savings'. Acquired via WaMu (2002) then JPMorgan Chase (2008).,True,2,"JPMorgan Chase Bank, National Association",628,852218,Active,3813431000.0,OH,1111 Polaris Pkwy,Columbus,43240,0.30,"JPMorgan Chase Bank, Dearborn",21761,651448,Active,69891.0,MI,18800 Hubbard Dr,Dearborn,48126,0.39
Dollar Bank,Active,Dollar Bank,Dollar*Bank*,Input 'Dollar Bank' no corrections. Active Pennsylvania regional bank.,True,6,Dollar Savings Bank,27938,442075,Inactive,85810.0,PA,"Washington Centre, 32 North Mill Street",New Castle,16103,0.73,"Dollar Bank, Federal Savings Bank",32245,961624,Active,12219114.0,PA,340 4th Ave,Pittsburgh,15222,0.51
California Bank & Trust,Active,California Bank & Trust,California*Bank*&*Trust*,"Input correct, active community bank in California.",True,1,California Bank & Trust,20852,837260,Inactive,11960432.0,CA,"11622 El Camino Real, Suite 200",San Diego,92130,1.00,,,,,,,,,,
California Bank of Commerce,Acquired,U.S. Bank,(California*Bank*of*Commerce* OR U.S.*Bank*),"Acquired 2022 by Union Bank, later merged into U.S. Bank; current holder is U.S. Bank.",True,2,"California Bank of Commerce, National Association",57044,3076453,Active,4098937.0,CA,12265 El Camino Real,San Diego,92130,0.73,U.S. Bank National Association,6548,504713,Active,679293260.0,OH,425 Walnut St,Cincinnati,45202,0.33
Cambridge Savings Bank,Active,Cambridge Savings Bank,Cambridge*Savings*Bank*,"Correct, active mutual savings bank in Massachusetts.",True,1,Cambridge Savings Bank,17870,758703,Active,6950279.0,MA,1374 Massachusetts Ave,Cambridge,02138,1.00,,,,,,,,,,
Camden National Bank,Active,Camden National Bank,Camden*National*Bank*,"Correct, active community bank in Maine.",True,2,The Camden National Bank,4255,593007,Active,6970257.0,ME,2 Elm St,Camden,04843,0.89,"Norwest Bank Camden, National Association",1927,35356,Inactive,128093.0,MN,4141 Lyndale Avenue North,Minneapolis,55412,0.56
Canadian Imperial Bank of Commerce New York,Active,Canadian Imperial Bank of Commerce New York,Canadian*Imperial*Bank*of*Commerce*New*York*,"Correct, active branch of CIBC in New York.",True,1,Canadian Imperial Bank of Commerce (New York),20811,610904,Inactive,55893.0,NY,425 Lexington Avenue,New York,10017,1.00,,,,,,,,,,
Canandaigua National Bank & Trust,Active,Canandaigua National Bank & Trust,Canandaigua*National*Bank*&*Trust*,"Correct, active community bank in New York.",True,1,The Canandaigua National Bank and Trust Company,6985,161602,Active,5258602.0,NY,72 S Main St,Canandaigua,14424,0.89,,,,,,,,,,
Capital Bank,Active,Capital Bank,Capital*Bank*,"Input 'Capital Bank NA' cleaned (removed NA), active national bank in North Carolina.",True,5,Capital Bank,19401,596156,Active,674058.0,TX,10304 East Fwy,Jacinto City,77029,1.00,Capital City Bank,9622,876634,Active,4325546.0,FL,217 N Monroe St,Tallahassee,32301,0.83
Capital Farm Credit,Active,Capital Farm Credit,Capital*Farm*Credit*,"Correct, active agricultural credit institution.",False,0,,,,,,,,,,,,,,,,,,,,
Capital One Bank,Active,Capital One Bank,Capital*One*Bank*,"Correct, active major national bank.",True,1,"Capital One Bank (USA), National Association",33954,2253891,Inactive,127600243.0,VA,4851 Cox Rd,Glen Allen,23060,0.59,,,,,,,,,,
Capital One,Active,Capital One,Capital*One*,"Input 'Capital One NA' cleaned (removed NA), active.",True,3,"Capital One, F.S.B.",34191,2478407,Inactive,17487074.0,VA,1680 Capital One Drive,Mclean,22102,0.85,"Capital One, National Association",4297,112837,Active,652138082.0,VA,1680 Capital One Dr,Mclean,22102,0.55
Carver Federal Savings Bank,Active,Carver Federal Savings Bank,Carver*Federal*Savings*Bank*,"Correct, active minority-owned savings bank in New York.",True,1,Carver Federal Savings Bank,30394,268677,Active,702912.0,NY,75 W 125th St,New York,10027,1.00,,,,,,,,,,
Cathay Bank,Active,Cathay Bank,Cathay*Bank*,"Correct, active Asian-American owned bank in California.",True,1,Cathay Bank,18503,595869,Active,24059479.0,CA,777 N Broadway,Los Angeles,90012,1.00,,,,,,,,,,
Centennial Bank,Active,Centennial Bank,Centennial*Bank*,"Correct, active regional bank (Arkansas-based).",True,2,Centennial Bank,11241,456045,Active,22542008.0,AR,620 Chestnut St,Conway,72032,1.00,Centennial Bank,8439,531250,Active,835475.0,TN,5420 Broad St S,Trezevant,38258,1.00
Centennial Bank Holdings,Acquired,Home BancShares,(Centennial*Bank*Holdings* OR Home*BancShares*),"Input 'Centennial Bank Holdings Inc' cleaned (removed Inc), acquired 2019 by Home BancShares.",False,0,,,,,,,,,,,,,,,,,,,,
CenterState Bank,Acquired,SouthState Bank,(CenterState*Bank* OR SouthState*Bank*),Merged 2020 with SouthState Bank to form SouthState Bank; current successor is SouthState Bank.,True,6,CenterState Bank of Florida,35313,2905538,Inactive,181447.0,FL,1101 First Street South,Winter Haven,33880,0.74,"SouthState Bank, National Association",33555,1929247,Active,66027921.0,FL,1101 1st St S,Winter Haven,33880,0.45
Centier Bank,Active,Centier Bank,Centier*Bank*,"Correct, active community bank in Indiana.",True,1,Centier Bank,12854,783648,Active,9917852.0,IN,1500 119th St,Whiting,46394,1.00,,,,,,,,,,
Central Pacific Bank,Active,Central Pacific Bank,Central*Pacific*Bank*,"Correct, active regional bank in Hawaii.",True,1,Central Pacific Bank,17308,701062,Active,7415416.0,HI,220 S King St,Honolulu,96813,1.00,,,,,,,,,,
Century Bank,Active,Century Bank,Century*Bank*,"Correct, active community bank (e.g., Massachusetts-based).",True,9,Century Bank,11448,58636,Active,550820.0,MS,4282 Main St,Lucedale,39452,1.00,Century Bank,28362,83375,Active,1364303.0,NM,100 S Federal Pl,Santa Fe,87501,1.00
Chambers Bank,Active,Chambers Bank,Chambers*Bank*,"Correct, active community bank in Arkansas.",True,2,Chambers Bank,5615,517049,Active,1453244.0,AR,901 Main St,Danville,72833,1.00,Chambers State Bank,13251,416357,Active,83369.0,NE,104 E Main St,Chambers,68725,0.81
China Construction Bank Corporation New York,Active,China Construction Bank Corporation New York,China*Construction*Bank*Corporation*New*York*,"Input cleaned (removed 'Branch' suffix), active branch of CCB in New York.",False,0,,,,,,,,,,,,,,,,,,,,
Farm Credit Mid-America PCA,Active,Farm Credit Mid-America PCA,Farm*Credit*Mid-America*PCA*,No typos; active Farm Credit institution.,False,0,,,,,,,,,,,,,,,,,,,,
Farm Credit Services of America,Active,Farm Credit Services of America,Farm*Credit*Services*of*America*,Active member of the Farm Credit System.,False,0,,,,,,,,,,,,,,,,,,,,
Farm Credit Services of America FLCA,Active,Farm Credit Services of America FLCA,Farm*Credit*Services*of*America*FLCA*,No typos; active Federal Land Credit Association.,False,0,,,,,,,,,,,,,,,,,,,,
Farm Credit West FLCA,Active,Farm Credit West FLCA,Farm*Credit*West*FLCA*,Active entity within Farm Credit West.,False,0,,,,,,,,,,,,,,,,,,,,
Farmers & Merchants Bank,Active,Farmers & Merchants Bank,Farmers*&*Merchants*Bank*,Corrected 'Merchant' to 'Merchants'; active regional bank.,True,10,Farmers & Merchants Bank,12284,273859,Active,19173.0,OK,101 East Second Street,Duke,73532,1.00,Farmers & Merchants Bank of Central California,1331,808260,Active,5631419.0,CA,121 W Pine St,Lodi,95240,0.68
Fifth Third Bank,Active,Fifth Third Bank,Fifth*Third*Bank*,Active Ohio-based regional bank.,True,11,"FIFTH THIRD BANK, INDIANA",12843,976749,Inactive,2105919.0,IN,120 Monument Circle,Indianapolis,46204,0.80,"Fifth Third Bank, National Association",6672,723112,Active,212207000.0,OH,38 Fountain Square Plz,Cincinnati,45202,0.64
First Bank Chicago,Active,First Bank Chicago,First*Bank*Chicago*,Active Chicago community bank.,True,4,First Bank Chicago,17470,804338,Active,2090794.0,IL,1835 1st St,Highland Park,60035,1.00,First State Bank of Chicago,20170,191636,Inactive,219199.0,IL,4646 North Cumberland Avenue,Chicago,60656,0.80
First Bank,Active,First Bank,First*Bank*,Removed legal suffix 'NA'; active.,True,10,First Southern Bank,10055,631039,Active,324134.0,GA,930 Memorial Dr,Waycross,31501,0.69,First International Bank & Trust,10248,236153,Active,5680943.0,ND,100 N Main St,Watford City,58854,0.49
First Bank Puerto Rico,Active,First Bank Puerto Rico,First*Bank*Puerto*Rico*,Active Puerto Rican financial institution.,True,1,FirstBank Puerto Rico,30387,510871,Active,19300144.0,PR,1519 Ave Ponce De Leon,Santurce,00909,0.98,,,,,,,,,,
First Bank of Highland Park,Active,First Bank of Highland Park,First*Bank*of*Highland*Park*,Active community bank in Highland Park.,False,0,,,,,,,,,,,,,,,,,,,,
First Citizens Bank & Trust,Active,First Citizens Bank & Trust,First*Citizens*Bank*&*Trust*,Active regional bank with trust services.,True,3,First-Citizens Bank & Trust Company,11063,491224,Active,233167000.0,NC,239 Fayetteville St,Raleigh,27601,0.98,First Citizens Bank & Trust Company,10003,794831,Inactive,126549.0,WV,1 East Main Street,White Sulphur Springs,24986,1.00
First Commercial Bank Los Angeles,Active,First Commercial Bank Los Angeles,First*Commercial*Bank*Los*Angeles*,Active Los Angeles-based commercial bank.,False,0,,,,,,,,,,,,,,,,,,,,
First Commonwealth Bank,Active,First Commonwealth Bank,First*Commonwealth*Bank*,Active Pennsylvania regional bank.,True,3,First Commonwealth Bank,7468,42420,Active,12279028.0,PA,654 Philadelphia St,Indiana,15701,1.00,First Commonwealth Bank,24682,864127,Inactive,61885.0,VA,204 West Main Street,Wise,24293,1.00
First Eagle Bank,Active,First Eagle Bank,First*Eagle*Bank*,Active community bank.,True,1,First Eagle  Bank,25883,759045,Active,617101.0,IL,1201 W Madison St,Chicago,60607,0.97,,,,,,,,,,
First Financial Bank,Active,First Financial Bank,First*Financial*Bank*,Active regional bank with multiple locations.,True,6,First Financial Bank,19440,292234,Active,242019.0,AL,1630 4th Ave N,Bessemer,35020,1.00,First Financial Bank,6600,165628,Active,18457048.0,OH,255 E 5th St,Cincinnati,45202,1.00
First Florida Bank,Active,First Florida Bank,First*Florida*Bank*,Active Florida community bank.,True,7,First Florida Bank,35105,2808358,Inactive,399921.0,FL,8850 Tamiami Trail North,Naples,34108,1.00,First Florida Integrity Bank,58532,3591282,Inactive,2389982.0,FL,3580 Pine Ridge Road,Naples,34109,0.78
First Foundation Bank,Active,First Foundation Bank,First*Foundation*Bank*,Active bank with wealth management services.,True,1,First Foundation Bank,58647,3637685,Active,11886084.0,CA,18101 Von Karman Ave,Irvine,92612,1.00,,,,,,,,,,
First Hawaiian Bank,Active,First Hawaiian Bank,First*Hawaiian*Bank*,Active Hawaii-based bank (part of BOH Holdings).,True,1,First Hawaiian Bank,17985,980661,Active,24101748.0,HI,999 Bishop St,Honolulu,96813,1.00,,,,,,,,,,
First Horizon Bank,Active,First Horizon Bank,First*Horizon*Bank*,Active Tennessee regional bank.,True,1,First Horizon Bank,4977,485559,Active,82886598.0,TN,165 Madison Ave,Memphis,38103,1.00,,,,,,,,,,
First Independence Bank,Active,First Independence Bank,First*Independence*Bank*,Active African-American owned community bank.,True,2,First Independence Bank,20179,254849,Active,699585.0,MI,7310 Woodward Ave,Detroit,48202,1.00,First Independence Bank of Florida,23929,68336,Inactive,65048.0,FL,"16740 San Carlos Boulevard, S.W.",Fort Myers,33908,0.81
China Merchants Bank New York,Active,China Merchants Bank New York,China*Merchants*Bank*New*York*,Input correct; active US branch of China Merchants Bank.,False,0,,,,,,,,,,,,,,,,,,,,
Choice Bank,Active,Choice Bank,Choice*Bank*,Input correct; active regional bank.,True,4,Choice Bank,57469,3161993,Inactive,287610.0,AZ,15190 North Hayden Road,Scottsdale,85260,1.00,ChoiceOne Bank,1014,324340,Active,4291775.0,MI,109 E Division St,Sparta,49345,0.88
Citibank,Active,Citibank,Citibank*,Input 'Citi' expanded to 'Citibank'; active.,True,11,Citibank USA,27606,1404931,Inactive,2423684.0,DE,4500 New Linden Hill Road,Wilmington,19808,0.80,"Citibank, National Association",7213,476810,Active,1844189000.0,SD,5800 S Corporate Pl,Sioux Falls,57108,0.47
Citibank,Active,Citibank,Citibank*,Input correct; active.,True,11,Citibank USA,27606,1404931,Inactive,2423684.0,DE,4500 New Linden Hill Road,Wilmington,19808,0.80,"Citibank, National Association",7213,476810,Active,1844189000.0,SD,5800 S Corporate Pl,Sioux Falls,57108,0.47
Citibank,Active,Citibank,Citibank*,Input 'Citibank NA' cleaned (removed NA); active.,True,11,Citibank USA,27606,1404931,Inactive,2423684.0,DE,4500 New Linden Hill Road,Wilmington,19808,0.80,"Citibank, National Association",7213,476810,Active,1844189000.0,SD,5800 S Corporate Pl,Sioux Falls,57108,0.47
Citicorp North America,Active,Citicorp North America,Citicorp*North*America*,Input 'Citicorp North America Inc' cleaned (removed Inc); active subsidiary of Citigroup.,False,0,,,,,,,,,,,,,,,,,,,,
Citigroup,Active,Citigroup,Citigroup*,Input correct; active financial holding company.,False,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Active,Citizens Bank,Citizens*Bank*,Input 'Citizens Bank NA' cleaned (removed NA); active.,True,10,Citizens State Bank,10474,356239,Active,447664.0,IL,102 W Main St,Lena,61048,0.81,Citizens and Farmers Bank,10363,928421,Active,2686839.0,VA,415 14th Street,West Point,23181,0.68
Citizens Financial Group,Active,Citizens Financial Group,Citizens*Financial*Group*,Input correct; active holding company for Citizens Bank.,True,3,Citizens Financial Bank,29367,163473,Inactive,1117907.0,IN,707 Ridge Road,Munster,46321,0.81,Citizens First Financial Bank,9809,891552,Inactive,89027.0,MO,40 South Walnut Street,Dexter,63841,0.72
Citizens National Bank,Active,Citizens National Bank,Citizens*National*Bank*,Input correct; active regional bank.,True,8,Citizens National Bank,20954,717737,Active,1926540.0,TN,200 Forks Of The River Pkwy,Sevierville,37862,1.00,Citizens National Bank of Texas,5574,552161,Active,2026072.0,TX,200 N Elm St,Waxahachie,75165,0.81
City National Bank,Active,City National Bank,City*National*Bank*,Input correct; active (owned by RBC but operates independently).,True,4,City National Bank,17281,63069,Active,96473902.0,CA,555 S Flower St,Los Angeles,90071,1.00,City National Bank of Florida,20234,814430,Active,27770671.0,FL,25 W Flagler St,Miami,33130,0.73
Citywide Banks,Active,Citywide Banks,Citywide*Banks*,Input correct; active Colorado regional bank.,True,1,Citywide Banks,19858,697754,Inactive,1381509.0,CO,10660 East Colfax Avenue,Aurora,80010,1.00,,,,,,,,,,
Civista Bank,Active,Civista Bank,Civista*Bank*,Input correct; active Ohio regional bank.,True,1,Civista Bank,12982,542528,Active,4105295.0,OH,100 E Water St,Sandusky,44870,1.00,,,,,,,,,,
CoBank,Active,CoBank,CoBank*,Input correct; active US agricultural cooperative bank.,True,1,CerescoBank,1993,75651,Active,76595.0,NE,130 Elm St,Ceresco,68017,0.71,,,,,,,,,,
Columbia Bank,Active,Columbia Bank,Columbia*Bank*,Input correct; active Washington regional bank.,True,2,Columbia Bank,17266,143662,Active,67491443.0,OR,445 Se Main St,Roseburg,97470,1.00,Columbia Bank,28834,174572,Active,10858331.0,NJ,19-01 Route 208,Fair Lawn,07410,1.00
Columbia State Bank,Active,Columbia State Bank,Columbia*State*Bank*,Input correct; active regional bank.,True,1,Columbia State Bank,33826,2078290,Inactive,20258988.0,WA,1301 A St,Tacoma,98402,1.00,,,,,,,,,,
Comerica Bank,Active,Comerica Bank,Comerica*Bank*,Input correct; active Texas regional bank.,True,2,Comerica Bank,983,60143,Active,77366000.0,TX,1717 Main St,Dallas,75201,1.00,"Comerica Bank & Trust, National Association",1596,772446,Active,126282.0,MI,101 N Main St,Ann Arbor,48104,0.51
Comerica Bank,Active,Comerica Bank,Comerica*Bank*,Input 'Comerica Bank NA' cleaned (removed NA); active.,True,2,Comerica Bank,983,60143,Active,77366000.0,TX,1717 Main St,Dallas,75201,1.00,"Comerica Bank & Trust, National Association",1596,772446,Active,126282.0,MI,101 N Main St,Ann Arbor,48104,0.51
Commerce Bancorp,Acquired,TD Bank,(Commerce*Bancorp* OR TD*Bank*),Input 'Commerce Bancorp Inc' cleaned (removed Inc); acquired by TD Bank in 2008.,True,2,"TD Bank, National Association",18409,497404,Active,350851701.0,DE,2035 Limestone Rd,Wilmington,19808,0.29,"TD Bank USA, National Association",33947,2121196,Active,34297872.0,DE,2035 Limestone Rd,Wilmington,19808,0.27
Commerce Bank,Active,Commerce Bank,Commerce*Bank*,Input 'Commerce Bank NA' cleaned (removed NA); active (Commerce Bancshares).,True,8,Commerce Bank,24998,601050,Active,32080679.0,MO,1000 Walnut St,Kansas City,64106,1.00,Commerce Bank,10212,49054,Active,240406.0,MN,101 Central Ave S,Geneva,56035,1.00
